,title,url,body
10,"""일부 관세 15%로 인상…더 올릴 수도""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455811,"<앵커> 
  
 미국이 일률적으로 적용되고 있는 10%의 새 관세를 어떤 국가들은 15%로 올리고, 또 다른 국가들에겐 그보다도 높게 부과할 수 있다고 말했습니다. 일단 임시 관세를 부과해 놨으니까 이제 국가마다 차등을 두면서 다시 전과 비슷한 체계를 만들겠단 건데, 우리에겐 어떻게 할지가 가장 관심입니다. 
  
 워싱턴에서 김용태 특파원의 보도입니다. 
  
 <기자> 
  
 미국 무역대표부 그리어 대표는 폭스 비즈니스 방송에 출연해 관세 인상 방향을 설명했습니다. 
  
 미 연방대법원의 상호관세 위법 판결 이후 미국은 전"
11,로마 테르미니역 지키는 경찰이 도둑질?…21명 수사선상,https://news.sbs.co.kr/news/endPage.do?news_id=N1008455801,"▲ 이탈리아 로마 테르미니역

 이탈리아서 백화점 절도 사건에 가담한 혐의로 현직 경찰이 무더기로 수사선상에 올랐습니다. 
  
 25일(현지시간) 이탈리아 일간 라레푸블리카에 따르면 로마 테르미니역 역사에 있는 유명 백화점에서 물건을 훔친 혐의로 현직 경찰관 21명이 수사를 받고 있습니다. 
  
 수사 당국에 따르면 이들은 백화점 매장 직원과 짜고 18만 4천 유로(약 3억 1천만 원) 상당의 의류·화장품·향수 등을 훔친 혐의를 받습니다. 
  
 이들은 공모한 매장 직원이 도난 방지 태그를 제거한 물건을 미리 준비한 가방에 담"
12,"밴스 미 부통령 ""이란 최고지도자, '핵무기 불가' 원칙 수용해야""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455765,"▲ JD 밴스 미국 부통령

 JD 밴스 미국 부통령은 이란 최고지도자 아야톨라 세예드 알리 하메네이를 향해 미국의 '핵무기 보유 불가' 원칙을 수용하라고 촉구했습니다. 
  
 밴스 부통령은 현지 시간으로 25일 폭스뉴스와의 인터뷰에서 ""이란은 핵무기를 보유할 수 없다. 아주 단순하다""며 ""나는 이란 최고지도자와 그 체제의 모든 구성원이 이를 이해해야 한다고 생각한다""고 말했습니다. 
  
 이어 ""우리는 이를 명확히 밝혀왔으며, 군사력 없이도 좋은 해결책을 도출하길 희망한다. 하지만 우리가 군사력을 사용해야 한다면, 대통령은 그"
13,"트럼프, 국정연설 항의한 의원들에 ""미친 사람들…시설 가야""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455756,"▲ 도널드 트럼프 미국 대통령

 도널드 트럼프 미국 대통령은 자신의 국정연설 자리에서 고성을 지르며 항의한 민주당 의원들을 향해 ""미친 사람들""이라고 맹비난했습니다. 
  
 트럼프 대통령은 현지 시간으로 25일 자신의 SNS 트루스소셜에서 ""어젯밤 그토록 중요하고 아름다운 행사인 매우 우아한 국정연설에서 IQ(지능지수)가 낮은 일한 오마르, 러시다 털리브가 통제 불능으로 고함을 지르는 모습을 보면 미친 사람들, 정신병자, 정신이 이상하고 아픈 자들의 튀어나오고 충혈된 눈을 하고 있었는데, 솔직히 시설에 수용돼야 할 것처럼 보인다"
14,"이란, 트럼프 ""유럽·미군기지 위협 미사일 개발"" 주장 일축",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455713,"▲ 에스마일 바가이 이란 외무부 대변인

 이란은 자국이 유럽과 해외 미군 기지를 위협할 수 있는 미사일을 개발했다는 도널드 트럼프 미국 대통령의 주장을 ""거짓말""이라고 일축했습니다. 
  
 에스마일 바가이 이란 외무부 대변인은 현지 시간으로 25일 SNS에 올린 성명에서 ""이란의 핵 프로그램, 탄도미사일, 그리고 1월 소요 사태 당시 사상자 수 등에 대한 미국과 이스라엘의 주장은 모두 거짓말""이라고 밝혔습니다. 
  
 바가이 대변인은 ""전문적인 거짓말쟁이들은 '진실이라는 환영'을 만들어내는 데에 능숙하다""며 ""거짓말을 충분히 "
15,"한국도 '무역법 301조' 조사 대상?…""면밀히 파악""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455578,"<앵커> 
  
 상호관세 무효 판결 이후 트럼프 대통령은 무역법 122조에 따른 임시 관세를 부과했죠. 이어 더 강력한 카드인, 제한 없이 고율 관세 부과가 가능한 무역법 301조 조사에도 착수했습니다. 이 조사 대상에 우리나라가 포함될 가능성이 거론되자, 정부는 미국의 동향을 면밀히 파악하겠다고 밝혔습니다. 
  
 워싱턴에서 김용태 특파원입니다. 
  
 <기자> 
  
 연방대법원의 상호관세 위법 판결 이후 미국 무역대표부는 불공정하고 차별적인 무역 관행에 보복 관세를 매기는 301조 차원의 조사를 시작했습니다. 
  
 정"
16,"트럼프 108분간 자화자찬…미 민주 ""망상에 빠졌다""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455577,"<앵커> 
  
 트럼프 미국 대통령이 집권 2년 차를 맞아 첫 국정연설을 했습니다. 역대 최장 기록인 108분에 걸친 연설에서 트럼프 대통령은 그동안 추진해 온 정책의 성과를 집중적으로 강조했습니다. 특히 대법원 판결로 무효가 된 상호관세 대신 더 강력한 관세 정책을 추진하겠다며, 관세 수입으로 미국민의 소득세를 대체할 것이라고 주장했습니다. 
  
 워싱턴 이한석 특파원입니다. 
  
 <특파원> 
  
 [의장님, 미합중국 대통령입니다.] 
  
 공화당 의원들의 기립박수와 환호 속에 등장한 트럼프 대통령. 
  
 집권 2기"
17,"""다 미쳤다고!"" ""살인자 대통령!"" 트럼프 '치트키' 꺼내자 '폭발'…""와, 또 버텨?"" 난리난 '첫 국정연설' 10분 요약 (트럼프 NOW)",https://news.sbs.co.kr/news/endPage.do?news_id=N1008454513,"현지시간 24일 도널드 트럼프 미국 대통령의 집권 2기 국정연설 시간은 약 1시간 48분으로 미국 역대 국정연설 최장 기록을 갖게 됐습니다. 
  
 이는 2000년 빌 클린턴 전 대통령이 세운 1시간 28분 49초를 넘는 것으로 트럼프 대통령은 이번 국정연설이 '길 것'이라고 예고한 바 있습니다. 
  
 트럼프 대통령의 국정연설은 미국 워싱턴DC 연방 의회 의사당에서 진행됐습니다. 
  
 트럼프 대통령은 입장 이후 약 6분에 걸쳐 참석자 한 명 한 명과 '셀카'를 찍거나 힘차게 악수하고, 집게손가락으로 가리키며 아는 체를 하기"
18,"빌 게이츠, 러 여성들과 외도 인정…""엡스타인 피해자는 아냐""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455626,"▲ 빌 게이츠

 억만장자 성범죄자 제프리 엡스타인과 친분을 맺고 혼외 관계로 성병까지 걸렸다는 의혹에 휩싸인 빌 게이츠 마이크로소프트(MS) 창업자가 외도 사실을 인정했습니다. 
  
 다만, 외도 상대는 엡스타인의 성 착취 피해자가 아니며, 이와 관련한 엡스타인의 범죄 사실에 대해서도 본인은 알지 못했다고 주장했습니다. 
  
 미국 일간 월스트리트저널에 따르면, 게이츠는 현지 시간 24일 '빌 앤드 멀린다 게이츠 재단' 직원들과 가진 타운홀 미팅에서 엡스타인 관련 의혹을 해명하며 이같이 밝혔습니다. 
  
 게이츠는 이 자리에"
19,"중국 AI, 반복 명령에 '욕설'…텐센트, ""모델 이상 출력"" 사과",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455620,"▲ 텐센트

 중국의 생성형 AI(인공지능) 서비스가 사용자와의 대화 도중 욕설을 하는 일이 발생해 논란이 일고 있습니다. 
  
 오늘(25일) 중국 매체 홍성신문 등에 따르면, 시안의 한 변호사는 텐센트의 생성형 AI 서비스 '위안바오'를 이용해 새해 인사용 이미지를 제작하던 중 욕설이 포함된 문구가 생성됐다고 밝혔습니다. 
  
 위안바오는 텐센트가 자체 대형언어모델(LLM)을 기반으로 선보인 대화형 AI 서비스입니다. 
  
 이 변호사는 자신의 사진을 업로드 한 뒤 ""나는 변호사이니 직업 특성에 맞는 새해 인사 이미지를 제"
20,"쿠팡, 타이완서도 20만 개 계정 개인정보 유출",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455563,"대규모 개인정보 유출사태가 발생한 쿠팡의 한국 고객뿐 아니라 타이완 고객의 개인정보도 유출된 것으로 뒤늦게 드러났습니다. 
  
 쿠팡의 모회사인 쿠팡Inc는 전 직원이 무단 접근한 계정 중 약 20만 개가 타이완 소재 계정으로 확인됐다고 25일 밝혔습니다. 
  
 쿠팡Inc는 보안업체 맨디언트의 포렌식 결과 이런 사실을 새로 확인했다며 정보를 빼낸 전 직원은 이 중 한 개의 계정 데이터만 저장했다고 설명했습니다. 
  
 쿠팡Inc는 홈페이지에 맨디언트, 팔로알토네트웍스 등 글로벌 사이버보안 업체들을 선임해 포괄적인 포렌식 조사"
21,"[AFTER 8NEWS] '시진핑 이 갈았다' 춘절 뒤흔든 로봇쇼…""신기하긴 한데 800억 돈 낭비?""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008452258,"00:00 스스로 커피 타주고, 대화도...'진짜 사람 같네' 
   02:00 ""없어서 못 사, 2달 뒤에""...방송 2시간 만에 폭주 
   03:00 5시간에 800억 태웠다? 돈 낭비? 
   04:53 ""이건 예고편""...로봇 굴기, 시진핑도 이갈았다 
  


1.스스로 커피 타주고, 대화도...'진짜 사람 같네'
 춘완은 1983년부터 시작한 중국 관영 CCTV의 설 특집 프로그램입니다. 우리의 설 격인 춘제 전날 저녁에 장장 4, 5시간에 걸쳐서 생방송으로 진행이 되는데요. '중국 인구 10억 명 이상이 시청을 한다'"
22,"[자막뉴스] 남편 독살해놓고 '추모 동화책' 발간 '소름'…""보험금으로 내연남과 새 시작 꿈꿔""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455392,"남편을 독살한 혐의를 받는 미국의 동화 작가 코우리 리친스가 남편 사망 보험금을 타 낸 후 내연남과 새 출발을 꿈꾼 것으로 보인다는 수사 결과가 나왔습니다. 
  
 현지시간 24일 유타주 파크시티 법원에서 남편을 독살한 혐의로 기소된 35살 코우리 리친스의 첫 공판이 열렸습니다. 
  
 코우리는 지난 2022년 3월 4일 자택에서 남편 에릭 리친스를 펜타닐로 독살한 혐의로 재판에 넘겨졌습니다. 
  
 부검 결과 에릭의 몸에서는 치사량 5배에 달하는 펜타닐이 발견된 것으로 알려졌습니다. 
  
 검찰은 코우리가 남편에게 9년에 "
23,"미국, 쿠팡 관련 무역법 301조 조사 가능성",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455502,"▲ 쿠팡

 강경화 주미대사는 24일(현지시간) 도널드 트럼프 미국 대통령이 미 연방 대법원의 상호관세 위법 판결 이후 새로운 글로벌 관세를 부과한 것과 관련해 ""트럼프 행정부의 후속조치 동향을 면밀히 파악하고 (한국 정부의) 대미 협의가 우호적 분위기 속에서 조성될 수 있도록 지원하겠다""고 밝혔습니다. 
  
 강 대사는 한국 특파원단과의 간담회에서 ""대법원 판결에 대해 우리 정부는 국익에 가장 부합하는 방법으로 대응할 예정""이라며 이같이 말했습니다. 
  
 상호관세 환급 문제와 관련해서는 ""절차에 대한 불확실성은 여전히 남아 "
24,"일, 전쟁 국가에도 무기 수출 허용 여지…중 ""재군사화 야욕""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455499,"다카이치 사나에 총리가 이끄는 일본 정부가 방위장비 수출 규제 완화를 추진 중인 가운데, 집권 자민당이 전쟁 중인 국가에 대한 무기 수출도 예외적으로 허용할 방침을 굳혔습니다. 
  
 교도통신에 따르면 자민당 안보조사회는 오늘(25일) 당 본부에서 회의를 열고 방위장비 수출 규정 완화를 위해 정부에 제출할 제안을 승인했습니다. 
  
 제안서는 전투기 같은 살상 무기도 원칙적으로 수출을 허용하는 내용을 담았습니다. 
  
 다만 방위장비를 살상 능력 등 여부에 따라 '무기'와 '비무기'로 구분하고 살상 무기 수출 대상국은 일본과 "
25,"'AI 공포' 보고서 낸 리서치 대표 ""시장 반응에 놀랐다""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455486,"▲ AI

 최근 미국 증시를 '인공지능(AI) 공포 투매'로 몰아넣는 데 일조한 보고서를 낸 시트리니 리서치의 대표 제임스 반 길런은 보고서가 일으킨 반향에 자신도 매우 놀랐다고 밝혔습니다 블룸버그 통신에 따르면 반 길런 대표는 ""만약 주가가 그 보고서의 방향대로 움직일 거라고 생각했다면 보고서를 무료로 공개하지 않았을 것""이라고 했습니다. 
  
 미국 뉴욕에 본사가 있는 시트리니 리서치는 직원 10여 명에 불과하지만, 유료 보고서 구독자가 11만 9천여 명에 달해 월가에서는 이름이 꽤 알려진 곳입니다. 
  
 시트리니 리서치"
26,"중, 미 정보당국의 핵무기 개발 주장에 ""사실 왜곡·설득력 없어""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455471,"▲ 마오닝 중국 외교부 대변인

 중국이 자국의 핵폭발 실험 및 핵무기 현대화 의혹을 제기한 미국 측 주장에 ""근거 없는 비난""이라며 강하게 반박했습니다. 
  
 마오닝 중국 외교부 대변인은 오늘(25일) 정례 브리핑에서 미국 국무부 군비통제 담당 고위 당국자가 중국이 과거 핵폭발 실험을 했다고 주장하며 미국도 상호주의 원칙에 따라 핵실험을 재개할 수 있다고 언급한 데 대한 질문에 이같이 밝혔습니다. 
  
 마오 대변인은 ""미국 측의 비난은 근거 없는 억측으로, 설득력이 전혀 없다""며 ""사실 왜곡과 책임 전가에 불과하다""고 말했"
27,"위법 판결에도 ""관세 강력해질 것""…트럼프 '역대 최장' 기록",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455230,"<앵커> 
  
 트럼프 미국 대통령이 오늘(25일) 국정연설을 통해 상호관세 위법 판결에도 불구하고 관세 정책을 더욱 강화하겠다고 밝혔습니다. 지금이 바로 미국의 황금시대라고 자화자찬했습니다. 
  
 보도에 곽상은 기자입니다. 
  
 <기자> 
  
 집권 2기 첫 국정연설에 나선 도널드 트럼프 대통령은 연방대법원의 상호관세 위법 판결에 유감을 표했습니다. 
  
 하지만 관세 압박을 통해 체결한 각국과의 무역 합의는 흔들리지 않을 것이라고 강조했습니다. 
  
 [도널드 트럼프/미국 대통령 : 내가 대통령으로서 가진 법적 권"
28,[자막뉴스] 사무직의 '블루칼라 러시' 시작되나…'임금 역전' 현상 확산에 앞다퉈서,https://news.sbs.co.kr/news/endPage.do?news_id=N1008455317,"일본에서 현장직 인력난이 심화되면서 자동차 정비사 등 기술직 임금이 사무직을 앞지르는 '임금 역전'이 확산하고 있습니다. 
  
 닛케이아시아는 리쿠르트웍스연구소 분석을 인용해 ""AI 자동화 영향이 상대적으로 작은 블루칼라 직군의 보상이 빠르게 개선되는 반면, 일부 화이트칼라와 정부가 서비스 가격을 정하는 직종은 임금 상승이 제한된다""고 전했습니다. 
  
 연구소는 145개 직종의 2024년 비관리직 연관 보수를 추정했는데, 전체 평균은 527만 엔으로 2020년 대비 8.1% 늘었지만 같은 기간 소비자물가가 8.5% 오른 걸 감"
29,"""트럼프, 자기 과시·망상·현실 외면""…국정연설 비판한 민주당",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455391,"▲ 척 슈머 민주당 상원 원내대표

 미국 야권과 언론은 도널드 트럼프 대통령의 집권 2기 첫 국정연설에 대해 중요한 새 정책이 담기기보다는 자기 과시적 내용으로 가득 차 있었다고 대체로 냉정하게 평가했습니다. 
  
 척 슈머 민주당 상원 원내대표는 의사당을 나서면서 ""망상에 빠진 상태""라며 내용과 전달 방식 모두 실망스러웠다고 꼬집었습니다. 
  
 그러면서 ""연설이 트럼프 대통령 자신에게 별 도움이 되지 않았다고 생각한다""고 덧붙였습니다. 
  
 알렉스 파딜라(민주·캘리포니아) 상원의원은 연설이 거짓으로 가득 차 있다고 비판"
